personid,wfh,age,tenure,grosswage,children,bedroom,commute,men,married,high_educ
3906,1,33,96,2.7375467,yes,yes,180,0,1,0
4122,1,30,94,4.0962458,no,no,180,0,0,0
4448,1,35,92,4.2692962,yes,yes,100,0,1,0
4942,1,27,82,5.2953954,no,yes,160,0,1,0
5018,1,29,82,1.3875899,yes,yes,240,0,1,0
5614,0,32,79,3.8260088,no,yes,80,1,1,0
6362,0,29,82,4.8947082,yes,yes,200,0,1,0
6364,1,26,82,6.2207456,yes,yes,180,0,1,0
7068,0,28,72,4.3418241,no,yes,40,0,1,1
7076,1,30,72,2.66415,yes,yes,120,0,1,1
7488,1,25,70,3.0722089,no,yes,240,0,0,0
7720,1,25,70,3.0483878,no,yes,180,0,0,1
8522,1,30,66,4.1922421,yes,yes,120,0,1,0
8834,0,22,66,3.6427166,no,no,60,0,0,0
8854,1,22,66,4.2592611,no,yes,60,0,0,0
8980,1,25,65,1.9734234,no,yes,120,0,0,0
9710,0,33,64,3.9029267,no,yes,120,0,1,0
10226,0,22,62,3.3343222,no,no,60,0,0,0
10356,0,27,62,3.7967179,no,yes,60,1,0,1
10794,1,32,60,4.1691942,yes,yes,120,0,1,0
10822,1,26,60,2.9962699,no,yes,70,0,1,0
11348,0,25,59,2.7525179,yes,yes,120,0,1,0
11390,1,31,59,4.7715454,no,yes,60,1,1,0
11868,1,30,57,2.7679133,no,yes,120,1,0,1
12306,0,24,56,3.4949443,no,yes,180,1,0,0
12426,0,30,56,2.8134468,no,yes,60,0,1,1
12896,0,26,54,4.3952889,no,yes,150,0,1,1
12974,1,22,54,3.8363302,no,yes,20,0,0,0
13530,1,29,53,2.9978867,no,yes,100,1,0,0
13710,1,30,52,3.8624947,yes,yes,120,1,1,1
13980,0,28,51,4.4680867,no,yes,120,0,0,0
14048,0,28,51,3.6995213,yes,yes,180,0,1,0
14374,1,28,50,3.3623633,no,yes,2.5,0,0,1
14382,1,26,50,5.1260633,yes,yes,190,0,1,1
14384,1,32,50,3.6653888,no,yes,180,0,0,1
14522,0,29,50,3.4024889,no,yes,40,1,0,0
14528,1,28,50,2.6626198,yes,yes,65,0,1,0
14532,1,26,50,2.9423811,no,yes,120,0,0,0
14556,0,26,50,3.7961645,yes,yes,120,0,1,1
14678,1,26,50,3.7973533,no,yes,60,1,1,1
15294,0,25,49,3.7159467,no,yes,80,0,0,0
15444,1,27,49,3.27178,no,yes,120,0,1,1
16424,1,22,47,3.1301768,no,yes,180,0,0,0
16514,1,28,47,2.3920667,no,yes,70,1,0,0
16594,0,29,47,3.6042979,yes,yes,160,0,1,1
16596,1,34,47,4.7260346,yes,yes,40,1,1,1
17160,0,27,46,3.3902433,yes,yes,180,1,1,1
17172,1,28,46,4.6419311,no,yes,240,0,0,1
17722,1,24,45,4.1951799,no,yes,120,1,0,0
17752,1,25,45,3.5489633,no,yes,60,1,0,1
17812,0,28,45,4.7051601,yes,yes,150,1,1,0
17906,1,27,45,2.5038145,no,yes,210,0,1,1
18112,1,27,44,2.7862556,no,yes,120,0,0,1
18494,0,31,44,3.2129254,no,yes,180,1,0,0
19470,0,25,42,3.5001233,no,yes,60,0,0,1
19482,0,23,42,2.7133322,no,yes,180,1,0,0
21604,0,24,37,3.0380278,no,yes,200,0,0,0
21648,1,26,37,2.6443167,yes,yes,75,1,1,1
21654,1,29,37,4.1014285,no,yes,80,0,0,1
21710,1,30,37,2.6169801,no,yes,90,1,1,1
22022,0,22,36,3.4560156,no,yes,120,0,0,0
22284,0,21,36,3.4786634,yes,yes,45,0,1,0
23126,0,23,35,4.2542796,no,yes,95,0,0,1
23136,1,22,35,3.1753633,no,yes,60,1,0,0
23228,1,23,35,3.9816256,no,yes,40,0,1,1
23622,1,25,35,4.1304722,no,yes,120,1,0,1
23772,0,21,35,3.6291912,no,yes,40,1,0,1
24142,1,29,34,4.9450345,no,yes,180,0,0,0
24146,1,24,34,3.2050078,no,yes,150,1,0,0
24608,1,34,34,3.8289921,yes,yes,20,0,1,0
25056,1,23,33,2.8689067,no,yes,40,0,0,0
25258,0,26,33,3.4368823,no,yes,120,1,0,0
25520,1,24,32,3.6391969,no,yes,60,1,0,0
25532,0,25,32,3.3970912,no,yes,180,1,0,0
25628,1,24,32,3.0696712,no,yes,120,0,0,0
25638,1,26,32,2.7953246,no,yes,120,0,0,1
25700,0,27,32,3.1886568,no,yes,30,1,0,1
25864,0,20,31,4.3348713,no,yes,40,0,0,1
25940,1,24,31,3.5226889,no,yes,100,0,1,0
25962,1,24,31,3.6365478,yes,yes,80,1,1,1
26328,0,22,31,3.6299655,no,no,30,1,0,0
26618,1,24,30,3.6763389,no,yes,40,1,0,0
27704,0,26,28,2.6993911,no,yes,30,0,0,1
28190,1,25,27,2.9674811,no,yes,60,0,0,0
28224,0,27,27,3.1292701,yes,yes,30,1,1,0
28226,0,23,27,2.3416898,no,yes,120,1,0,0
28470,1,24,27,3.0680244,no,yes,60,1,0,1
28492,1,24,27,4.2266932,no,yes,40,0,0,1
29172,1,26,26,2.8963332,no,yes,180,1,0,1
29216,0,26,26,2.9735067,no,yes,50,1,0,1
29248,0,27,26,2.7496324,yes,yes,40,1,1,0
29996,0,23,25,3.3534834,no,yes,60,1,1,0
30006,0,24,25,3.2888489,no,yes,60,0,0,0
30014,1,30,25,4.3416367,no,yes,50,1,0,0
30308,0,21,25,3.7130811,no,no,50,0,0,1
30972,1,27,24,2.8467743,no,yes,120,1,0,0
31136,0,23,24,2.6250567,no,yes,140,1,0,0
31230,1,24,24,2.9393754,no,yes,200,0,1,0
31292,1,27,24,3.6276512,no,yes,135,0,0,1
31796,1,24,24,3.8672733,no,yes,120,0,1,0
31888,1,27,23,3.249639,yes,yes,180,0,1,0
31936,0,25,23,2.4034512,no,yes,75,1,0,0
32590,1,28,23,2.6732466,no,yes,100,1,0,0
33128,1,21,22,3.7385809,no,yes,80,1,0,1
33278,1,20,22,2.275409,no,yes,180,0,0,0
33350,1,26,22,2.8910179,no,yes,120,1,0,1
33354,0,21,22,2.702929,no,yes,135,0,0,0
35344,1,22,20,2.8727365,no,yes,60,0,0,0
36032,1,22,19,2.3757291,no,yes,120,1,0,0
36288,0,25,19,2.84852,no,yes,30,1,0,1
36306,1,26,19,3.2344944,no,yes,80,1,0,1
36314,0,23,19,2.7280767,no,yes,75,1,0,0
36908,1,23,15,2.7428231,no,yes,60,1,0,0
37292,0,21,13,2.5126977,no,yes,180,0,0,0
37294,1,20,13,2.2425222,no,yes,80,0,0,0
37784,0,19,12,2.465909,no,yes,105,0,0,0
37798,0,21,12,4.0997667,no,yes,20,1,0,1
37812,0,26,12,2.5612578,no,yes,180,0,0,1
37828,0,23,12,3.4578824,no,yes,60,1,0,0
38018,0,25,78,2.4711423,no,yes,120,0,0,0
38028,1,21,11,4.081461,no,yes,20,1,0,1
38038,1,35,11,3.7505789,yes,yes,50,1,1,1
38040,1,22,11,2.4195065,no,yes,120,0,1,0
38042,1,20,11,2.1565979,no,yes,180,0,0,0
38046,0,21,11,2.5232611,no,yes,180,0,0,0
38070,1,18,11,2.1282835,no,yes,180,0,0,0
38290,0,21,11,2.2940667,no,yes,20,0,0,1
38566,1,22,10,2.6179056,no,yes,300,0,1,1
38580,1,22,10,3.1737044,no,yes,150,0,0,1
38712,0,22,10,2.408632,no,yes,60,0,0,0
38878,1,25,10,2.7521698,no,yes,180,0,0,1
38898,1,22,10,2.3294411,no,yes,30,0,0,1
39144,0,18,10,2.307771,no,yes,135,0,0,0
39164,0,19,10,1.9574367,no,yes,60,1,0,0
39458,0,21,9,2.0327144,no,yes,180,1,0,0
39466,0,19,9,2.3777688,no,yes,90,0,0,0
39490,1,23,9,2.8580811,no,yes,80,1,0,0
39512,1,19,9,2.7819822,no,yes,120,0,0,0
39548,1,26,9,2.2523489,no,yes,120,0,0,1
39634,0,20,9,3.3516254,no,yes,28,0,0,0
39748,0,22,9,2.5558746,yes,yes,60,0,1,0
39990,1,24,9,2.6146433,no,yes,40,1,0,0
40162,0,21,8,2.5025301,no,yes,120,0,0,1
40164,1,22,8,2.7391,no,yes,180,0,0,0
40192,1,23,8,2.4117811,no,yes,180,1,0,0
40316,1,25,8,2.5293367,no,yes,60,0,0,0
40320,1,25,8,3.1419656,yes,yes,30,0,1,1
40322,0,24,8,2.4230156,no,yes,80,0,0,0
40328,0,22,8,2.8085544,no,yes,40,1,0,0
40336,0,25,8,1.8216889,no,yes,120,1,0,1
40444,1,34,8,4.5790925,yes,yes,240,1,1,0
40456,0,23,8,2.9682412,no,yes,40,1,0,1
40472,1,25,8,2.7997401,no,yes,90,0,0,0
40490,0,21,8,2.2997365,no,yes,200,1,0,0
41286,1,23,6,2.2320545,no,yes,60,1,0,1
41318,1,22,6,2.8944988,no,yes,150,0,0,0
41818,1,23,6,1.5676389,no,yes,40,0,0,1
42108,1,23,5,2.180999,no,yes,165,1,0,0
42140,0,25,5,2.0991511,yes,yes,120,1,1,0
42146,1,21,5,2.6055667,no,yes,155,1,0,0
42152,0,25,5,2.2796545,no,yes,120,1,0,0
42308,1,23,5,2.1777735,no,yes,190,0,1,1
42592,0,23,4,2.1660967,no,yes,120,0,0,0
42624,1,23,4,2.1169591,no,yes,180,0,0,0
42628,1,22,4,2.6698179,no,yes,140,1,0,0
42632,0,21,4,2.1365278,no,yes,210,0,0,0
43258,0,22,3,2.5343001,no,yes,180,1,0,0
43264,1,22,3,2.1834314,no,yes,210,1,0,1
43270,1,25,3,2.6007185,no,yes,180,0,0,0
43278,1,23,3,1.8964972,no,yes,120,0,0,1
43286,1,20,3,2.3404601,no,yes,20,0,0,0
43500,1,27,3,2.6960227,yes,yes,120,0,1,1
43534,1,23,3,2.3380985,no,yes,180,1,0,1
43570,1,18,3.5,2.4264233,no,yes,180,1,0,0
43926,1,22,3,2.8931179,no,yes,50,1,0,0
44266,1,19,2.5,2.1462648,no,yes,55,1,0,0
44282,0,20,2.5,1.9008915,no,yes,240,0,0,0
44408,1,22,2.5,1.6431301,no,yes,180,0,0,0
44782,1,23,2,2.7881098,no,yes,60,1,0,0
44784,0,31,2,2.4996901,no,yes,30,1,0,1
44800,1,25,2,2.74229,no,yes,120,1,0,1
45238,1,22,2,1.6785461,no,yes,40,1,0,0
45254,1,23,2,1.908324,no,yes,210,1,0,1
45442,0,22,2.5,2.4788702,no,yes,40,1,0,0
3224,0,30,113,3.8248823,no,no,40,1,0,0
4118,0,31,94,3.4603801,yes,no,180,0,1,1
4164,0,28,25,7.2532001,no,yes,65,0,1,1
4252,0,29,94,4.0608325,no,no,140,0,0,1
4944,0,25,82,4.4770112,no,yes,180,0,0,1
4992,0,25,82,3.8015378,no,yes,240,0,0,0
5560,0,29,79,4.420188,yes,yes,50,1,1,1
5606,0,26,79,3.0919712,no,no,120,0,0,0
5742,0,26,78,6.7337432,no,yes,60,0,1,0
5784,0,31,78,2.9404178,no,yes,160,0,0,1
5906,0,23,78,4.5938811,yes,yes,180,0,1,0
5930,0,23,78,4.410223,no,no,50,0,0,0
6162,0,31,77,3.8107321,no,yes,120,0,0,0
6278,0,32,77,2.9187889,yes,yes,170,0,1,1
6284,0,23,77,3.9908912,no,no,60,0,0,1
6300,0,33,76,3.3604422,no,yes,80,1,0,1
6342,0,30,76,3.923372,yes,yes,120,0,1,0
6344,0,27,76,4.5168571,yes,yes,120,0,1,0
6856,0,31,73,2.1215911,no,yes,180,0,0,1
6898,0,24,73,4.6395741,no,no,120,1,0,0
6904,0,23,73,3.7446711,no,no,45,0,0,0
6924,0,22,73,4.9445286,no,yes,110,0,0,0
7056,0,27,72,5.0630698,yes,no,80,1,1,1
7132,0,22,72,3.6314757,no,yes,50,0,0,0
7184,0,27,71,4.2302675,no,yes,120,0,1,0
7240,0,23,71,4.35887,no,no,40,0,0,1
7324,0,27,71,4.6434965,no,no,90,1,0,0
7454,0,24,70,2.0513732,no,yes,85,0,1,1
7456,0,25,70,4.9626255,no,no,120,0,0,0
7538,0,24,70,3.3498802,no,no,120,0,0,1
7660,0,25,70,3.49544,no,yes,240,0,0,0
7820,0,28,70,3.5054533,yes,yes,180,1,1,1
7856,0,22,70,5.1482167,no,no,40,1,0,0
7872,0,22,70,3.6174922,no,no,60,0,0,0
7896,0,22,70,3.8224521,no,no,60,0,0,0
7978,0,29,69,4.3938274,yes,yes,180,0,1,1
8440,0,24,67,1.5288833,no,yes,80,0,0,0
8830,0,22,66,5.8753214,no,no,30,0,0,0
8858,0,23,25,4.3171253,no,yes,90,0,0,1
9070,0,23,66,4.0421543,no,yes,60,0,0,1
9072,0,23,66,4.3165522,no,no,40,0,0,0
9086,0,22,66,3.2136621,no,no,100,0,0,0
9106,0,23,25,3.6806667,no,yes,20,0,0,1
9426,0,23,68,3.2903333,no,yes,30,0,0,0
9432,0,22,65,4.9271822,no,no,40,0,0,0
9460,0,23,65,5.8756423,no,yes,40,0,0,0
9666,0,26,64,2.7383602,no,no,50,1,1,1
9886,0,30,25,3.8439844,no,yes,80,0,0,1
10024,0,26,63,3.3279943,yes,yes,230,0,1,1
10098,0,28,63,4.3152037,yes,yes,180,0,1,1
10210,0,23,62,4.0901799,no,no,60,0,0,0
10228,0,22,62,5.9146934,no,no,30,1,0,0
10236,0,22,62,3.9678166,no,no,55,0,0,0
10450,0,27,61,4.5207467,no,yes,180,0,0,1
10868,0,30,60,1.4717622,yes,yes,130,0,1,0
11034,0,25,59,3.9688244,no,no,40,0,0,1
11062,0,22,59,3.3237,no,no,40,0,0,0
11128,0,28,59,3.9076154,no,yes,40,0,1,1
11212,0,32,59,3.6687167,no,no,180,0,0,0
11238,0,23,59,3.4772835,no,no,80,1,0,1
11314,0,25,59,3.7485299,no,yes,120,1,0,1
11362,0,27,59,3.9455733,yes,yes,180,0,1,0
11386,0,26,59,3.5143433,no,no,80,1,0,0
11582,0,22,58,3.71543,no,yes,50,0,0,0
11814,0,24,58,5.9308381,no,yes,50,0,0,0
11870,0,28,57,3.38325,no,yes,20,0,0,0
11896,0,29,57,3.5289278,yes,yes,120,1,1,1
12150,0,33,57,2.9225345,yes,yes,150,0,1,1
12350,0,29,56,4.3548565,yes,yes,180,1,1,0
12806,0,23,55,2.3903179,no,no,80,0,0,0
13010,0,21,54,4.3259802,no,no,70,0,0,0
13054,0,25,54,3.4843545,no,no,120,0,0,1
13056,0,28,54,2.136348,no,yes,60,1,0,0
13118,0,22,54,2.8010588,no,yes,125,1,0,1
13214,0,21,54,2.7348032,no,no,120,0,0,0
13222,0,21,54,4.1090388,no,no,60,0,0,1
13250,0,25,54,4.74861,no,yes,60,0,0,1
13346,0,21,53,4.6262054,no,no,40,0,0,1
13484,0,25,53,2.7452157,no,yes,90,0,0,1
13486,0,23,53,2.3599699,no,yes,10,1,0,0
13574,0,30,53,4.1970549,yes,yes,190,1,1,1
13664,0,25,53,3.9619966,no,no,60,1,0,1
13812,0,25,36,3.3776224,no,no,90,0,0,1
14212,0,26,51,3.458298,no,yes,120,1,0,1
14220,0,28,51,2.7996411,yes,yes,240,1,1,0
14266,0,26,51,3.0967278,no,yes,60,0,1,0
14380,0,25,50,3.0946934,no,no,130,0,1,1
14672,0,23,50,2.9062588,no,yes,30,0,0,0
14682,0,23,50,3.9770288,no,yes,80,1,0,0
14704,0,25,50,4.0076942,no,no,50,0,0,1
14724,0,24,50,5.9590802,no,yes,30,1,0,1
14734,0,25,50,5.2125001,no,yes,50,1,0,1
14804,0,29,25,3.6911023,yes,yes,150,0,1,1
14926,0,28,50,4.9257622,no,yes,20,1,0,1
15098,0,25,49,4.404284,no,no,60,0,0,1
15148,0,25,49,2.7831867,no,yes,36,0,0,1
15436,0,23,49,4.1681857,no,no,40,0,0,0
15452,0,26,49,2.6629901,no,yes,30,1,0,1
15704,0,27,48,2.8402689,no,yes,150,0,1,0
15732,0,25,48,1.0904567,no,yes,80,0,0,1
15836,0,31,48,3.3182311,no,no,30,1,0,1
15862,0,26,48,3.8316634,no,yes,80,0,0,1
16104,0,28,44.5,3.7076747,no,yes,120,1,1,0
16334,0,30,47,3.4295022,yes,yes,240,1,1,1
16410,0,25,47,3.8790488,no,no,30,1,0,1
16422,0,29,47,2.2396276,yes,yes,90,0,1,1
16518,0,27,47,3.2689991,no,yes,180,1,0,0
16538,0,22,47,3.1119468,no,no,180,1,0,0
16564,0,30,47,3.0948277,no,yes,30,1,0,0
16654,0,29,47,2.6660111,yes,yes,90,0,1,0
16806,0,28,46,2.4147966,yes,yes,120,1,1,1
16812,0,24,46,3.0640123,no,yes,80,0,0,0
16870,0,21,46,2.4054167,no,no,120,1,0,1
17000,0,27,46,4.5554433,no,no,20,1,0,1
17014,0,27,46,4.1354113,no,yes,120,1,0,1
17058,0,23,46,2.6229999,no,yes,140,0,0,0
17166,0,27,46,4.1173334,no,yes,180,0,0,0
17178,0,25,46,3.7911956,no,no,40,0,0,0
17180,0,24,46,3.1745889,no,no,120,0,0,0
17274,0,26,46,3.1348279,yes,yes,120,0,1,1
17290,0,31,46,5.9103727,yes,no,210,0,1,0
17386,0,23,45,2.3342412,yes,yes,120,0,1,0
17518,0,30,45,3.7134566,yes,yes,190,0,1,0
17524,0,25,45,2.5359511,no,no,80,0,0,0
17572,0,23,45,4.0033512,no,yes,210,0,0,0
17616,0,23,45,2.7490478,no,yes,150,0,0,0
17668,0,23,45,3.9913411,no,yes,40,0,0,0
17714,0,29,45,2.8260889,yes,yes,40,0,1,1
17800,0,27,45,3.5358,no,no,50,1,0,1
17908,0,27,45,3.1488588,yes,yes,105,1,1,1
17918,0,29,47.5,2.3846402,yes,no,80,0,1,1
17926,0,25,45,4.0380645,no,yes,20,0,0,1
18148,0,22,44,5.0304408,no,no,40,0,0,0
18222,0,26,44,2.2578311,no,no,40,0,0,1
18346,0,27,25,3.5644066,no,yes,220,0,0,1
18366,0,24,44,3.1403933,no,no,20,0,0,1
18380,0,27,44,3.22542,no,yes,90,1,1,1
18454,0,25,44,3.7751811,no,yes,100,1,1,0
18476,0,23,44,3.4859512,no,yes,180,0,0,0
18502,0,26,44,2.3131669,no,yes,210,1,1,0
18634,0,23,43,3.4158845,no,yes,120,0,0,0
